station,code,break_start,break_end,cause,missing_input,rows_affected
stanhope,ffmc,2023-04-05T09:00:00+00:00,2023-04-06T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-05-02T21:00:00+00:00,2023-05-03T21:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-05-07T18:00:00+00:00,2023-05-08T18:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,ffmc,2023-05-11T19:00:00+00:00,2023-05-12T19:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2023-05-28T17:00:00+00:00,2023-05-29T17:00:00+00:00,input_missing,air_temperature_c,24
stanhope,ffmc,2023-06-18T13:00:00+00:00,2023-06-19T13:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-07-05T19:00:00+00:00,2023-07-06T19:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-07-14T11:00:00+00:00,2023-07-15T11:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-07-27T08:00:00+00:00,2023-07-28T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-08-14T08:00:00+00:00,2023-08-15T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-08-28T19:00:00+00:00,2023-08-29T19:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2023-09-16T15:00:00+00:00,2023-09-17T15:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-10-18T14:00:00+00:00,2023-10-19T14:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2023-12-13T18:00:00+00:00,2023-12-14T18:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2023-12-18T19:00:00+00:00,2023-12-19T19:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-01-10T18:00:00+00:00,2024-01-11T18:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-01-25T09:00:00+00:00,2024-01-26T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-02-13T18:00:00+00:00,2024-02-14T18:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-03-12T09:00:00+00:00,2024-03-13T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-03-23T15:00:00+00:00,2024-03-24T15:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2024-05-14T07:00:00+00:00,2024-05-15T07:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2024-05-23T14:00:00+00:00,2024-05-24T14:00:00+00:00,input_missing,air_temperature_c,24
stanhope,ffmc,2024-06-20T14:00:00+00:00,2024-06-21T14:00:00+00:00,input_missing,air_temperature_c,24
stanhope,ffmc,2024-06-25T12:00:00+00:00,2024-06-26T16:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",28
stanhope,ffmc,2024-06-27T08:00:00+00:00,2024-06-28T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-07-03T17:00:00+00:00,2024-07-04T17:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2024-08-19T06:00:00+00:00,2024-08-20T06:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-09-28T15:00:00+00:00,2024-09-29T15:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-09-29T23:00:00+00:00,2024-09-30T23:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-10-01T00:00:00+00:00,2024-10-02T00:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2024-11-14T03:00:00+00:00,2024-11-15T03:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-02-27T18:00:00+00:00,2025-02-28T18:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2025-03-18T04:00:00+00:00,2025-03-19T04:00:00+00:00,input_missing,air_temperature_c,24
stanhope,ffmc,2025-04-03T12:00:00+00:00,2025-04-04T12:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,ffmc,2025-04-23T09:00:00+00:00,2025-04-24T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-05-01T00:00:00+00:00,2025-05-02T00:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-05-03T20:00:00+00:00,2025-05-04T20:00:00+00:00,input_missing,air_temperature_c,24
stanhope,ffmc,2025-05-15T20:00:00+00:00,2025-05-16T20:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,ffmc,2025-05-19T08:00:00+00:00,2025-05-20T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-05-28T04:00:00+00:00,2025-05-29T04:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-06-12T05:00:00+00:00,2025-06-13T05:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-07-09T12:00:00+00:00,2025-07-10T12:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-08-05T13:00:00+00:00,2025-08-06T13:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",24
stanhope,ffmc,2025-08-17T17:00:00+00:00,2025-08-18T17:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2023-04-05T09:00:00+00:00,2023-04-06T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-05-02T21:00:00+00:00,2023-05-03T21:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-05-07T18:00:00+00:00,2023-05-08T18:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-05-11T19:00:00+00:00,2023-05-12T19:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2023-05-28T17:00:00+00:00,2023-05-29T17:00:00+00:00,input_missing,air_temperature_c,24
stanhope,dmc,2023-06-18T13:00:00+00:00,2023-06-19T13:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-07-05T19:00:00+00:00,2023-07-06T19:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-07-14T11:00:00+00:00,2023-07-15T11:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-07-27T08:00:00+00:00,2023-07-28T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-08-14T08:00:00+00:00,2023-08-15T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-08-28T19:00:00+00:00,2023-08-29T19:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2023-09-16T15:00:00+00:00,2023-09-17T15:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-10-18T14:00:00+00:00,2023-10-19T14:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2023-12-13T18:00:00+00:00,2023-12-14T18:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2023-12-18T19:00:00+00:00,2023-12-19T19:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-01-10T18:00:00+00:00,2024-01-11T18:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-01-25T09:00:00+00:00,2024-01-26T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-02-13T18:00:00+00:00,2024-02-14T18:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-03-12T09:00:00+00:00,2024-03-13T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-03-23T15:00:00+00:00,2024-03-24T15:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2024-05-14T07:00:00+00:00,2024-05-15T07:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2024-05-23T14:00:00+00:00,2024-05-24T14:00:00+00:00,input_missing,air_temperature_c,24
stanhope,dmc,2024-06-20T14:00:00+00:00,2024-06-21T14:00:00+00:00,input_missing,air_temperature_c,24
stanhope,dmc,2024-06-25T12:00:00+00:00,2024-06-26T16:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",28
stanhope,dmc,2024-06-27T08:00:00+00:00,2024-06-28T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-07-03T17:00:00+00:00,2024-07-04T17:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2024-08-19T06:00:00+00:00,2024-08-20T06:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-09-28T15:00:00+00:00,2024-09-29T15:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-09-29T23:00:00+00:00,2024-09-30T23:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-10-01T00:00:00+00:00,2024-10-02T00:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2024-11-14T03:00:00+00:00,2024-11-15T03:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-02-27T18:00:00+00:00,2025-02-28T18:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2025-03-18T04:00:00+00:00,2025-03-19T04:00:00+00:00,input_missing,air_temperature_c,24
stanhope,dmc,2025-04-03T12:00:00+00:00,2025-04-04T12:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dmc,2025-04-23T09:00:00+00:00,2025-04-24T09:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-05-01T00:00:00+00:00,2025-05-02T00:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-05-03T20:00:00+00:00,2025-05-04T20:00:00+00:00,input_missing,air_temperature_c,24
stanhope,dmc,2025-05-15T20:00:00+00:00,2025-05-16T20:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-05-19T08:00:00+00:00,2025-05-20T08:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-05-28T04:00:00+00:00,2025-05-29T04:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-06-12T05:00:00+00:00,2025-06-13T05:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-07-09T12:00:00+00:00,2025-07-10T12:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-08-05T13:00:00+00:00,2025-08-06T13:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct",24
stanhope,dmc,2025-08-17T17:00:00+00:00,2025-08-18T17:00:00+00:00,input_missing,relative_humidity_pct,24
stanhope,dc,2023-04-05T09:00:00+00:00,2023-04-06T09:00:00+00:00,input_missing,air_temperature_c,24
stanhope,dc,2023-05-02T21:00:00+00:00,2023-05-03T21:00:00+00:00,input_missing,air_temperature_c,24
stanhope,dc,2023-05-07T18:00:00+00:00,2023-05-08T18:00:00+00:00,input_missing,air_temperature_c,24
